
 [['날짜', '시가', '고가', '저가', '종가', '거래량', '외국인소진율'],
["20260303", 6165.15, 6180.45, 5791.65, 5791.91, 1227193, 0.0],
		
["20260304", 5592.59, 5672.12, 5059.45, 5093.54, 1637606, 0.0],
		
["20260305", 5250.92, 5715.3, 5248.13, 5583.9, 1660710, 0.0],
		
["20260306", 5491.02, 5609.98, 5381.27, 5584.87, 1223020, 0.0],
		
["20260309", 5265.37, 5327.42, 5096.16, 5251.87, 1026238, 0.0],
		
["20260310", 5523.21, 5595.88, 5427.88, 5532.59, 923210, 0.0],
		
["20260311", 5658.72, 5746.36, 5559.69, 5609.95, 1050946, 0.0],
		
["20260312", 5567.65, 5629.07, 5527.47, 5583.25, 801306, 0.0],
		
["20260313", 5412.39, 5537.59, 5392.52, 5487.24, 907656, 0.0],
		
["20260316", 5510.82, 5561.42, 5448.75, 5549.85, 1073860, 0.0],
		
["20260317", 5711.8, 5717.13, 5632.86, 5640.48, 1135071, 0.0],
		
["20260318", 5767.1, 5934.35, 5766.14, 5925.03, 1143772, 0.0],
		
["20260319", 5761.4, 5863.39, 5738.95, 5763.22, 1184170, 0.0],
		
["20260320", 5813.35, 5833.68, 5764.64, 5781.2, 1490805, 0.0],
		
["20260323", 5580.15, 5580.15, 5397.94, 5405.75, 1125620, 0.0],
		
["20260324", 5638.2, 5643.0, 5395.17, 5553.92, 1170518, 0.0],
		
["20260325", 5680.33, 5740.97, 5630.07, 5642.21, 763224, 0.0],
		
["20260326", 5594.06, 5598.37, 5448.12, 5460.46, 925093, 0.0],
		
["20260327", 5300.61, 5462.51, 5220.1, 5438.87, 900081, 0.0],
		
["20260330", 5181.8, 5297.35, 5151.22, 5277.3, 727391, 0.0],
		
["20260331", 5143.75, 5233.99, 5042.99, 5052.46, 1163312, 0.0],
		
["20260401", 5330.04, 5512.33, 5272.45, 5478.7, 958953, 0.0],
		
["20260402", 5551.69, 5574.62, 5170.27, 5234.05, 1428160, 0.0],
		
["20260403", 5375.5, 5419.45, 5316.42, 5377.3, 1185178, 0.0],
		
["20260406", 5423.35, 5505.61, 5404.91, 5450.33, 1110507, 0.0],
		
["20260407", 5552.19, 5594.9, 5424.46, 5494.78, 990449, 0.0],
		
["20260408", 5804.7, 5919.6, 5774.0, 5872.34, 932610, 0.0],
		
["20260409", 5826.45, 5862.41, 5757.49, 5778.01, 1026733, 0.0],
		
["20260410", 5876.12, 5918.59, 5850.83, 5858.87, 1002354, 0.0],
		
["20260413", 5737.28, 5827.73, 5730.23, 5808.62, 1083211, 0.0],
		
["20260414", 5960.0, 6026.52, 5938.33, 5967.75, 889491, 0.0],
		
["20260415", 6141.6, 6183.21, 6064.23, 6091.39, 923846, 0.0],
		
["20260416", 6149.49, 6231.03, 6126.06, 6226.05, 925695, 0.0],
		
["20260417", 6227.33, 6230.32, 6159.88, 6191.92, 689740, 0.0],
		
["20260420", 6213.92, 6278.36, 6176.75, 6219.09, 692878, 0.0],
		
["20260421", 6302.54, 6388.47, 6302.54, 6388.47, 792022, 0.0],
		
["20260422", 6387.57, 6423.29, 6318.51, 6417.93, 900140, 0.0],
		
["20260423", 6488.83, 6557.76, 6309.1, 6475.81, 1042392, 0.0],
		
["20260424", 6496.1, 6516.54, 6403.74, 6475.63, 878201, 0.0],
		
["20260427", 6533.6, 6657.22, 6529.19, 6615.03, 842664, 0.0],
		
["20260428", 6646.8, 6712.73, 6621.73, 6641.02, 1139472, 0.0],
		
["20260429", 6619.0, 6702.38, 6596.03, 6690.9, 717859, 0.0],
		
["20260430", 6739.39, 6750.27, 6597.83, 6598.87, 685459, 0.0],
		
["20260504", 6782.93, 6937.0, 6741.63, 6936.99, 873009, 0.0],
		
["20260506", 7093.01, 7426.6, 7093.01, 7384.56, 995692, 0.0],
		
["20260507", 7499.07, 7531.88, 7257.89, 7490.05, 767462, 0.0],
		
["20260508", 7353.94, 7511.01, 7318.96, 7498.0, 523091, 0.0],
		
["20260511", 7775.31, 7899.32, 7713.49, 7822.24, 731279, 0.0],
		
["20260512", 7953.41, 7999.67, 7421.71, 7643.15, 1021136, 0.0],
		
["20260513", 7513.65, 7855.47, 7402.36, 7844.01, 738739, 0.0],
		
["20260514", 7873.91, 7991.04, 7842.72, 7981.41, 849942, 0.0],
		
["20260515", 7951.75, 8046.78, 7371.68, 7493.18, 885627, 0.0],
		
["20260518", 7443.29, 7636.2, 7142.71, 7516.04, 566618, 0.0],
		
["20260519", 7425.66, 7446.57, 7141.91, 7271.66, 533509, 0.0],
		
["20260520", 7324.52, 7324.52, 7053.84, 7208.95, 492494, 0.0],
		
["20260521", 7486.37, 7819.23, 7486.37, 7815.59, 621082, 0.0],
		
["20260522", 7873.12, 7886.64, 7780.13, 7847.71, 435533, 0.0],
		
["20260526", 8070.91, 8131.15, 8008.19, 8047.51, 519551, 0.0],
		
["20260527", 8242.12, 8457.09, 8220.04, 8228.7, 619451, 0.0],
		
["20260528", 8165.73, 8253.6, 7841.01, 8185.29, 668951, 0.0],
		
["20260529", 8384.31, 8476.15, 8273.74, 8476.15, 735127, 0.0],
		
["20260601", 8485.67, 8874.16, 8485.67, 8788.38, 636175, 0.0],
		
["20260602", 8883.19, 8933.62, 8503.12, 8801.49, 632553, 0.0],
		
["20260604", 8623.82, 8759.05, 8577.3, 8639.41, 437896, 0.0],
		
["20260605", 8323.2, 8382.16, 8038.1, 8160.59, 463197, 0.0],
		
["20260608", 8048.09, 8048.09, 7442.73, 7484.41, 452204, 0.0],
		
["20260609", 7697.76, 8119.09, 7598.87, 8096.93, 448537, 0.0],
		
["20260610", 7899.77, 7996.68, 7541.11, 7730.82, 460877, 0.0],
		
["20260611", 7509.62, 7800.62, 7394.46, 7763.95, 478730, 0.0],
		
["20260612", 8263.85, 8434.4, 8079.77, 8123.62, 493406, 0.0],
		
["20260615", 8526.12, 8603.48, 8450.24, 8545.98, 516648, 0.0],
		
["20260616", 8696.55, 8753.82, 8540.41, 8726.6, 586337, 0.0],
		
["20260617", 8622.13, 8872.18, 8605.66, 8864.24, 571194, 0.0],
		
["20260618", 8884.92, 9106.07, 8867.34, 9063.84, 510940, 0.0],
		
["20260619", 9288.89, 9385.59, 8831.72, 9052.42, 517248, 0.0],
		
["20260622", 8954.43, 9253.0, 8900.68, 9114.55, 381081, 0.0],
		
["20260623", 9083.54, 9175.45, 8203.84, 8203.84, 488742, 0.0],
		
["20260624", 8356.79, 8577.52, 8080.99, 8471.02, 418169, 0.0],
		
["20260625", 8703.42, 9044.04, 8693.62, 8930.3, 456880, 0.0],
		
["20260626", 8813.18, 8861.7, 8126.84, 8411.21, 518473, 0.0],
		
["20260629", 8334.28, 8525.53, 8127.99, 8394.65, 371223, 0.0],
		
["20260630", 8416.7, 8667.73, 8220.8, 8476.48, 449824, 0.0],
		
["20260701", 8591.5, 8620.15, 8143.33, 8303.41, 468193, 0.0],
		
["20260702", 7933.1, 8136.28, 7616.33, 7648.09, 505157, 0.0],
		
["20260703", 7739.75, 8136.28, 7378.1, 8088.34, 465821, 0.0],
		
["20260706", 8186.82, 8327.26, 7815.53, 8051.33, 448691, 0.0],
		
["20260707", 7919.2, 7954.55, 7389.22, 7656.31, 516366, 0.0],
		
["20260708", 7452.48, 7791.66, 7186.21, 7246.79, 501071, 0.0],
		
["20260709", 7486.64, 7543.86, 7063.76, 7291.91, 582791, 0.0],
		
["20260710", 7552.49, 7704.93, 7429.51, 7475.94, 453242, 0.0],
		
["20260713", 7412.03, 7529.07, 6783.43, 6806.93, 474085, 0.0],
		
["20260714", 6769.06, 6979.92, 6448.86, 6856.83, 491599, 0.0],
		
["20260715", 7082.91, 7424.18, 7082.91, 7284.41, 397854, 0.0],
		
["20260716", 6960.5, 6995.93, 6730.87, 6820.6, 424280, 0.0],
		
["20260720", 6643.58, 6814.86, 6472.8, 6516.27, 345825, 0.0],
		
["20260721", 6553.88, 6836.86, 6429.03, 6747.95, 391092, 0.0],
		
["20260722", 7052.09, 7166.0, 6791.06, 6797.7, 373810, 0.0],
		
["20260723", 6963.35, 7108.44, 6892.64, 7096.89, 397346, 0.0],
		
["20260724", 7000.78, 7000.78, 6650.41, 6690.62, 397655, 0.0],
		
["20260727", 6806.27, 6806.27, 6557.39, 6755.75, 275718, 0.0],
		
["20260728", 6400.27, 6413.57, 5992.91, 6023.66, 331261, 0.0],
		
["20260729", 6089.11, 6228.52, 5262.77, 5663.24, 457385, 0.0],
		
["20260730", 5681.77, 5976.82, 5547.41, 5593.56, 378859, 0.0],
		
["20260731", 5657.79, 6630.77, 5629.76, 6595.45, 434445, 0.0],
		
["20260803", 6358.27, 6393.0, 6223.29, 6257.45, 272959, 0.0],
		
["20260804", 6351.38, 6389.4, 6080.25, 6358.95, 312997, 0.0],
		
["20260805", 6603.48, 6674.66, 6540.27, 6598.26, 338500, 0.0],
		
["20260806", 6478.75, 6550.94, 6238.32, 6296.38, 284501, 0.0],
		
["20260807", 6365.07, 6415.6, 6158.73, 6258.77, 299377, 0.0],
		
["20260810", 6306.33, 6394.06, 6232.45, 6299.66, 293734, 0.0],
		
["20260811", 6240.06, 6405.81, 6213.78, 6345.53, 333481, 0.0],
		
["20260812", 6438.5, 6668.43, 6413.5, 6579.04, 360651, 0.0],
		
["20260813", 6773.92, 6895.63, 6748.13, 6813.34, 418947, 0.0],
		
["20260814", 6995.67, 7010.86, 6848.43, 6977.94, 332942, 0.0],
		
["20260818", 7127.77, 7216.62, 6788.78, 6869.83, 402682, 0.0],
		
["20260819", 6528.77, 6614.39, 6400.81, 6471.17, 305840, 0.0],
		
["20260820", 6680.34, 6904.55, 6600.09, 6852.58, 304468, 0.0],
		
["20260821", 6759.95, 6954.12, 6742.44, 6912.95, 408037, 0.0],
		
["20260824", 6881.07, 6884.57, 6656.07, 6696.96, 267733, 0.0],
		
["20260825", 6535.93, 6747.16, 6408.82, 6742.74, 286782, 0.0],
		
["20260826", 6727.25, 6887.18, 6704.1, 6808.21, 329362, 0.0],
		
["20260827", 6996.12, 6996.12, 6841.88, 6912.37, 268465, 0.0],
		
["20260828", 6846.54, 6901.78, 6780.13, 6788.88, 292615, 0.0],
		
["20260831", 6613.58, 6820.1, 6547.76, 6820.02, 364254, 0.0],
		
["20260901", 6784.29, 6857.35, 6732.47, 6835.8, 273600, 0.0],
		
["20260902", 6625.47, 6694.57, 6558.3, 6562.72, 324053, 0.0],
		
["20260903", 6650.33, 6682.97, 6439.49, 6579.48, 433473, 0.0],
		
["20260904", 6654.36, 6746.14, 6632.77, 6687.21, 238152, 0.0],
		
["20260907", 6910.78, 6995.4, 6867.91, 6995.39, 240446, 0.0],
		
["20260908", 7045.79, 7171.52, 6951.78, 6954.52, 335241, 0.0],
		
["20260909", 6972.87, 7112.48, 6968.06, 7051.64, 322211, 0.0],
		
["20260910", 7038.85, 7072.79, 6898.45, 7033.92, 422598, 0.0],
		
["20260911", 6802.5, 6948.83, 6802.5, 6909.91, 268876, 0.0],
		
["20260914", 6692.61, 6773.97, 6654.82, 6684.37, 297171, 0.0],
		
["20260915", 6659.25, 6715.46, 6582.2, 6627.26, 287884, 0.0],
		
["20260916", 6611.24, 6717.97, 6598.87, 6717.97, 209130, 0.0],
		
["20260917", 6779.02, 6795.53, 6697.85, 6715.41, 221006, 0.0],
		
["20260918", 6885.7, 6914.08, 6830.95, 6894.23, 346807, 0.0],
		
["20260921", 6938.34, 7027.58, 6938.34, 7007.72, 246095, 0.0],
		
["20260922", 7161.61, 7171.44, 7104.31, 7115.56, 128691, 0.0]
		
	
	

]
